Tri,Année,Périmètre juridique,Legal perimeter,Périmètre spatial,country,Filière,Sector,Type d'énergie,Type of energy,Production,Unité ,Méthode de consolidation,Consolidation method,city,lat,lng,population
1.0,20220.0,Groupe EDF,EDF group,Afrique du Sud,South Africa,Éolienne,Wind,Électrique,Electric,220.9443768,GWh,Nette,Net,Johannesburg,-26.17,28.03,3435000.0
97.0,20210.0,Groupe EDF,EDF group,Afrique du Sud,South Africa,Éolienne,Wind,Électrique,Electric,180.968205599999,GWh,Nette,Net,Johannesburg,-26.17,28.03,3435000.0
243.0,20200.0,Groupe EDF,EDF group,Afrique du Sud,South Africa,Éolienne,Wind,Électrique,Electric,164.442,GWh,Nette,Net,Johannesburg,-26.17,28.03,3435000.0
342.0,20190.0,Groupe EDF,EDF group,Afrique du Sud,South Africa,Éolienne,Wind,Électrique,Electric,336.46,GWh,Nette,Net,Johannesburg,-26.17,28.03,3435000.0
2.0,20220.0,Groupe EDF,EDF group,Allemagne,Germany,Hydraulique,Hydraulic,Électrique,Electric,340.726,GWh,Nette,Net,Berlin,52.5218,13.4015,3406000.0
3.0,20220.0,Groupe EDF,EDF group,Allemagne,Germany,Éolienne,Wind,Électrique,Electric,230.209999999999,GWh,Nette,Net,Berlin,52.5218,13.4015,3406000.0
98.0,20210.0,Groupe EDF,EDF group,Allemagne,Germany,Éolienne,Wind,Électrique,Electric,219.07617,GWh,Nette,Net,Berlin,52.5218,13.4015,3406000.0
99.0,20210.0,Groupe EDF,EDF group,Allemagne,Germany,Hydraulique,Hydraulic,Électrique,Electric,396.932,GWh,Nette,Net,Berlin,52.5218,13.4015,3406000.0
236.0,20200.0,Groupe EDF,EDF group,Allemagne,Germany,Hydraulique,Hydraulic,Électrique,Electric,380.45,GWh,Nette,Net,Berlin,52.5218,13.4015,3406000.0
244.0,20200.0,Groupe EDF,EDF group,Allemagne,Germany,Éolienne,Wind,Électrique,Electric,261.057,GWh,Nette,Net,Berlin,52.5218,13.4015,3406000.0
343.0,20190.0,Groupe EDF,EDF group,Allemagne,Germany,Éolienne,Wind,Électrique,Electric,280.879,GWh,Nette,Net,Berlin,52.5218,13.4015,3406000.0
4.0,20220.0,Groupe EDF,EDF group,Belgique,Belgium,Nucléaire,Nuclear,Électrique,Electric,4438.4810861,GWh,Nette,Net,Brussels,50.8333,4.3333,1743000.0
5.0,20220.0,Groupe EDF,EDF group,Belgique,Belgium,Gaz,Gas,Électrique,Electric,1694.419796,GWh,Nette,Net,Brussels,50.8333,4.3333,1743000.0
6.0,20220.0,Groupe EDF,EDF group,Belgique,Belgium,Hydraulique,Hydraulic,Électrique,Electric,112.3548593,GWh,Nette,Net,Brussels,50.8333,4.3333,1743000.0
7.0,20220.0,Groupe EDF,EDF group,Belgique,Belgium,Éolienne,Wind,Électrique,Electric,795.52022,GWh,Nette,Net,Brussels,50.8333,4.3333,1743000.0
