Tri ;Année ;Périmètre juridique ;Legal perimeter ;Périmètre spatial             ;country                    ;Filière        ;Sector                   ;Type d'énergie ;Type of energy ;Production            ;Unité ;Méthode de consolidation ;Consolidation method
  1 ; 2022 ;Groupe EDF          ;EDF group       ;Afrique du Sud                ;South Africa               ;Éolienne       ;Wind                     ;Électrique     ;Electric       ;   220.9443768        ;GWh   ;Nette                    ;Net
  2 ; 2022 ;Groupe EDF          ;EDF group       ;Allemagne                     ;Germany                    ;Hydraulique    ;Hydraulic                ;Électrique     ;Electric       ;   340.726            ;GWh   ;Nette                    ;Net
  3 ; 2022 ;Groupe EDF          ;EDF group       ;Allemagne                     ;Germany                    ;Éolienne       ;Wind                     ;Électrique     ;Electric       ;   230.209999999999   ;GWh   ;Nette                    ;Net
  4 ; 2022 ;Groupe EDF          ;EDF group       ;Belgique                      ;Belgium                    ;Nucléaire      ;Nuclear                  ;Électrique     ;Electric       ;  4438.4810861        ;GWh   ;Nette                    ;Net
  5 ; 2022 ;Groupe EDF          ;EDF group       ;Belgique                      ;Belgium                    ;Gaz            ;Gas                      ;Électrique     ;Electric       ;  1694.419796         ;GWh   ;Nette                    ;Net
  6 ; 2022 ;Groupe EDF          ;EDF group       ;Belgique                      ;Belgium                    ;Hydraulique    ;Hydraulic                ;Électrique     ;Electric       ;   112.3548593        ;GWh   ;Nette                    ;Net
  7 ; 2022 ;Groupe EDF          ;EDF group       ;Belgique                      ;Belgium                    ;Éolienne       ;Wind                     ;Électrique     ;Electric       ;   795.52022          ;GWh   ;Nette                    ;Net
  8 ; 2022 ;Groupe EDF          ;EDF group       ;Belgique                      ;Belgium                    ;Solaire        ;Solar                    ;Électrique     ;Electric       ;     0.2113804        ;GWh   ;Nette                    ;Net
  9 ; 2022 ;Groupe EDF          ;EDF group       ;Belgique                      ;Belgium                    ;Gaz            ;Gas                      ;Chaleur        ;Heat           ;    43.2547438        ;GWh   ;Nette                    ;Net
 10 ; 2022 ;Groupe EDF          ;EDF group       ;Brésil                        ;Brazil                     ;Gaz            ;Gas                      ;Électrique     ;Electric       ;  1480.3529191        ;GWh   ;Nette                    ;Net
 11 ; 2022 ;Groupe EDF          ;EDF group       ;Brésil                        ;Brazil                     ;Hydraulique    ;Hydraulic                ;Électrique     ;Electric       ;   829.0978557        ;GWh   ;Nette                    ;Net
 12 ; 2022 ;Groupe EDF          ;EDF group       ;Brésil                        ;Brazil                     ;Éolienne       ;Wind                     ;Électrique     ;Electric       ;  2520.9764           ;GWh   ;Nette                    ;Net
 13 ; 2022 ;Groupe EDF          ;EDF group       ;Brésil                        ;Brazil                     ;Solaire        ;Solar                    ;Électrique     ;Electric       ;   399.770999999999   ;GWh   ;Nette                    ;Net
 14 ; 2022 ;Groupe EDF          ;EDF group       ;Canada                        ;Canada                     ;Éolienne       ;Wind                     ;Électrique     ;Electric       ;  2092.9918           ;GWh   ;Nette                    ;Net
 15 ; 2022 ;Groupe EDF          ;EDF group       ;Canada                        ;Canada                     ;Solaire        ;Solar                    ;Électrique     ;Electric       ;    43.6325           ;GWh   ;Nette                    ;Net
 16 ; 2022 ;Groupe EDF          ;EDF group       ;République populaire de Chine ;People's Republic of China ;Nucléaire      ;Nuclear                  ;Électrique     ;Electric       ;  3723.3              ;GWh   ;Nette                    ;Net
 17 ; 2022 ;Groupe EDF          ;EDF group       ;République populaire de Chine ;People's Republic of China ;Charbon        ;Coal                     ;Électrique     ;Electric       ;  8274.8603           ;GWh   ;Nette                    ;Net
 18 ; 2022 ;Groupe EDF          ;EDF group       ;République populaire de Chine ;People's Republic of China ;Éolienne       ;Wind                     ;Électrique     ;Electric       ;   995.5147601        ;GWh   ;Nette                    ;Net
 19 ; 2022 ;Groupe EDF          ;EDF group       ;République populaire de Chine ;People's Republic of China ;Solaire        ;Solar                    ;Électrique     ;Electric       ;   122.21948          ;GWh   ;Nette                    ;Net
 20 ; 2022 ;Groupe EDF          ;EDF group       ;République populaire de Chine ;People's Republic of China ;Biomasse       ;Biomass                  ;Électrique     ;Electric       ;     5.25             ;GWh   ;Nette                    ;Net
 21 ; 2022 ;Groupe EDF          ;EDF group       ;Espagne                       ;Spain                      ;Gaz            ;Gas                      ;Électrique     ;Electric       ;    24.9500250975     ;GWh   ;Nette                    ;Net
 22 ; 2022 ;Groupe EDF          ;EDF group       ;Espagne                       ;Spain                      ;Solaire        ;Solar                    ;Électrique     ;Electric       ;     3.3460093658571  ;GWh   ;Nette                    ;Net
 23 ; 2022 ;Groupe EDF          ;EDF group       ;Espagne                       ;Spain                      ;Gaz            ;Gas                      ;Chaleur        ;Heat           ;   176.06881563192    ;GWh   ;Nette                    ;Net
 24 ; 2022 ;Groupe EDF          ;EDF group       ;France                        ;France                     ;Nucléaire      ;Nuclear                  ;Électrique     ;Electric       ;278959.718            ;GWh   ;Nette                    ;Net
 25 ; 2022 ;Groupe EDF          ;EDF group       ;France                        ;France                     ;Charbon        ;Coal                     ;Électrique     ;Electric       ;  1703.49496          ;GWh   ;Nette                    ;Net
 26 ; 2022 ;Groupe EDF          ;EDF group       ;France                        ;France                     ;Fioul          ;Fioul                    ;Électrique     ;Electric       ;  5390.03786204645    ;GWh   ;Nette                    ;Net
 27 ; 2022 ;Groupe EDF          ;EDF group       ;France                        ;France                     ;Gaz            ;Gas                      ;Électrique     ;Electric       ; 11927.69618366       ;GWh   ;Nette                    ;Net
 28 ; 2022 ;Groupe EDF          ;EDF group       ;France                        ;France                     ;Hydraulique    ;Hydraulic                ;Électrique     ;Electric       ; 33999.2257128562     ;GWh   ;Nette                    ;Net
 29 ; 2022 ;Groupe EDF          ;EDF group       ;France                        ;France                     ;Éolienne       ;Wind                     ;Électrique     ;Electric       ;  3598.62006526509    ;GWh   ;Nette                    ;Net
 30 ; 2022 ;Groupe EDF          ;EDF group       ;France                        ;France                     ;Solaire        ;Solar                    ;Électrique     ;Electric       ;   525.600918499999   ;GWh   ;Nette                    ;Net
 31 ; 2022 ;Groupe EDF          ;EDF group       ;France                        ;France                     ;Géothermie     ;Geothermal               ;Électrique     ;Electric       ;     3.487984         ;GWh   ;Nette                    ;Net
 32 ; 2022 ;Groupe EDF          ;EDF group       ;France                        ;France                     ;Biomasse       ;Biomass                  ;Électrique     ;Electric       ;   867.85049882       ;GWh   ;Nette                    ;Net
 33 ; 2022 ;Groupe EDF          ;EDF group       ;France                        ;France                     ;Énergie marine ;Marine energy            ;Électrique     ;Electric       ;   548.784            ;GWh   ;Nette                    ;Net
 34 ; 2022 ;Groupe EDF          ;EDF group       ;France                        ;France                     ;Fioul          ;Fioul                    ;Chaleur        ;Heat           ;   231.0295005791     ;GWh   ;Nette                    ;Net
 35 ; 2022 ;Groupe EDF          ;EDF group       ;France                        ;France                     ;Gaz            ;Gas                      ;Chaleur        ;Heat           ; 13283.3729166654     ;GWh   ;Nette                    ;Net
 36 ; 2022 ;Groupe EDF          ;EDF group       ;France                        ;France                     ;Divers         ;Various                  ;Chaleur        ;Heat           ;    15.676611026416   ;GWh   ;Nette                    ;Net
 37 ; 2022 ;Groupe EDF          ;EDF group       ;France                        ;France                     ;Autres ENR     ;Other Renewable Energies ;Chaleur        ;Heat           ;  8731.28640905511    ;GWh   ;Nette                    ;Net
 38 ; 2022 ;Groupe EDF          ;EDF group       ;Grèce                         ;Greece                     ;Gaz            ;Gas                      ;Électrique     ;Electric       ;  1570.8301106685     ;GWh   ;Nette                    ;Net
 39 ; 2022 ;Groupe EDF          ;EDF group       ;Grèce                         ;Greece                     ;Éolienne       ;Wind                     ;Électrique     ;Electric       ;   506.721865774619   ;GWh   ;Nette                    ;Net
 40 ; 2022 ;Groupe EDF          ;EDF group       ;Grèce                         ;Greece                     ;Solaire        ;Solar                    ;Électrique     ;Electric       ;    73.8371193999999  ;GWh   ;Nette                    ;Net
 41 ; 2022 ;Groupe EDF          ;EDF group       ;Inde                          ;India                      ;Éolienne       ;Wind                     ;Électrique     ;Electric       ;   642.8216           ;GWh   ;Nette                    ;Net
 42 ; 2022 ;Groupe EDF          ;EDF group       ;Inde                          ;India                      ;Solaire        ;Solar                    ;Électrique     ;Electric       ;   541.730932499999   ;GWh   ;Nette                    ;Net
 43 ; 2022 ;Groupe EDF          ;EDF group       ;Israël                        ;Israel                     ;Solaire        ;Solar                    ;Électrique     ;Electric       ;   583.920865337999   ;GWh   ;Nette                    ;Net
 44 ; 2022 ;Groupe EDF          ;EDF group       ;Italie                        ;Italy                      ;Gaz            ;Gas                      ;Électrique     ;Electric       ; 15782.6176153403     ;GWh   ;Nette                    ;Net
 45 ; 2022 ;Groupe EDF          ;EDF group       ;Italie                        ;Italy                      ;Hydraulique    ;Hydraulic                ;Électrique     ;Electric       ;  1528.1519126507     ;GWh   ;Nette                    ;Net
 46 ; 2022 ;Groupe EDF          ;EDF group       ;Italie                        ;Italy                      ;Éolienne       ;Wind                     ;Électrique     ;Electric       ;   896.644733268748   ;GWh   ;Nette                    ;Net
 47 ; 2022 ;Groupe EDF          ;EDF group       ;Italie                        ;Italy                      ;Solaire        ;Solar                    ;Électrique     ;Electric       ;    57.9984733902504  ;GWh   ;Nette                    ;Net
 48 ; 2022 ;Groupe EDF          ;EDF group       ;Italie                        ;Italy                      ;Biomasse       ;Biomass                  ;Électrique     ;Electric       ;    18.7490010567     ;GWh   ;Nette                    ;Net
 49 ; 2022 ;Groupe EDF          ;EDF group       ;Italie                        ;Italy                      ;Divers         ;Various                  ;Électrique     ;Electric       ;    37.748028297      ;GWh   ;Nette                    ;Net
 50 ; 2022 ;Groupe EDF          ;EDF group       ;Italie                        ;Italy                      ;Fioul          ;Fioul                    ;Chaleur        ;Heat           ;     0.1765255        ;GWh   ;Nette                    ;Net
 51 ; 2022 ;Groupe EDF          ;EDF group       ;Italie                        ;Italy                      ;Gaz            ;Gas                      ;Chaleur        ;Heat           ;  2354.82029694584    ;GWh   ;Nette                    ;Net
